사업소명,설비업체,수탁기관,주소,OPC_Address,사업기간,위도 / 경도,운영여부,모니터링_설치_여부,모니터링_정상작동_여부,보유자료,Location
서산수소충전소,광신,서산시,충청남도 서산시 음암면 서해로 3828,opc.tcp://192.41.1.10:4880/Naonworks,2020.11~2026.12,36.7825015 / 126.492827,True,True,True,-,서산수소충전소
안성아트센터수소충전소,광신,안성시,경기도 안성시 현수동 86,opc.tcp://192.31.1.10:4880/Naonworks,2021.02~2026.03,37.0006812 / 127.2810416,True,True,True,-,안성아트센터수소충전소
화성체육시설수소충전소,광신,화성시,경기도 화성시 향남읍 향남로 470,opc.tcp://192.31.2.10:4880/Naonworks,2021.03~2026.05,37.1204501 / 126.9153462,True,True,True,-,화성체육시설수소충전소
춘천시 수소충전소,효성,춘천시,강원도 춘천시 동내면 영서로 1632(학곡리 849),-,2021.06~2026.12,37.8221715 / 127.7604215,True,False,False,-,-
천안버스수소충전소,NK,천안시,충청남도 천안시 서북구 번영로 158,opc.tcp://192.41.2.10:4880/Naonworks,2021.07~2026.08,36.8150504 / 127.1103478,True,True,False,-,천안버스수소충전소
부안수소충전소,광신,부안군,전라북도 부안군 행안면 역리 1200-1,opc.tcp://192.63.1.10:4880/Naonworks,2021.12~2026.11,35.7384949 / 126.7234282,True,True,False,-,부안수소충전소
평창 대관령 수소충전소,효성,평창군,강원도 평창군 대관령면 경강로 5754,-,2021.12~2026.12,37.6855486 / 128.7584078,True,False,False,-,-
강서충전소,JNK히터,서울시,서울특별시 강서구 개화동로8길 17,opc.tcp://192.2.1.10:4880/Naonworks,2021.02~2027.03,37.5767228 / 126.7988582,True,True,True,-,강서충전소
전주삼천수소충전소,광신,전주시,전라북도 전주시 완산구 정여립로 536,opc.tcp://192.63.2.10:4880/Naonworks,2022.02~2027.03,35.8093623 / 127.0750666,True,True,False,-,전주삼천수소충전소
충주버스수소충전소,효성,충주시,충청남도 충주시 목행동 산69-6 일원,opc.tcp://192.43.6.10:4880/Naonworks,2022.06~2027.08,37.0051263 / 127.9297295,True,True,False,-,충주버스수소충전소
제주 함덕 그린수소충전소,하이리움,제주도,제주특별자치도 제주시 조천읍 함와로 170,-,2023.05~2025.12,33.5253268 / 126.6774864,True,False,False,-,-
보령수소충전소,광신,보령시,충청남도 보령시 명해로 75(내항동),opc.tcp://192.41.3.10:4880/Naonworks,2023.05~2025.07,36.3354886 / 126.5951009,True,True,True,-,보령수소충전소
부안곰소충전소,광신,부안군,전라북도 부안군 진서면 청자로 1055,opc.tcp://192.63.3.10:4880/Naonworks,2023.05~2028.07,35.5959373 / 126.5833357,True,True,True,-,부안곰소충전소
평택항 수소충전소,광신,평택시 ,경기도 평택시 포승읍 만호리 611-1,-,2023.10~2026.11,36.9731025 / 126.8392882,True,False,False,-,-
전주 완주 수소충전소,린데,완주군,전라북도 완주군 봉동읍 과학로 930,-,2023.11~2028.11,35.9520171 / 127.1260899,True,False,False,-,-
동부산 수소충전소,PDC,부산시,부산광역시 기장군 기장읍 기장대로 313,-,2023.11~2028.11,35.2231444 / 129.2122454,True,False,False,-,-
서부산 수소충전소,-,부산시,부산광역시 강서구 화전동 산 74외 16필지,-,2023.12~2028.12,35.1023152 / 128.8664912,True,False,False,-,-
평택수소생산기지,원일,평택시,경기도 평택시 포승읍 원정리 1229-1,opc.tcp://192.31.4.10:4880/Naonworks,2022.08~2042.07,37.0083718 / 126.7970882,True,True,False,"기술도면(PID, CAD, DCL 등), 기술검토서",평택수소생산기지
전주 완주 수소생산기지,원일/현대로템,완주군,전라북도 완주군 봉동읍 과학로930,-,2023.11~2028.11,35.9520171 / 127.1260899,True,False,False,-,-
부산 수소생산기지,JNK히터,부산시,부산광역시 기장군 기장읍 기장대로 313,-,-,35.2231444 / 129.2122454,True,False,False,-,-
괴산개미충전소,광신,괴산군,층청북도 괴산군 괴산읍 읍내로 55,opc.tcp://192.43.1.10:4880/Naonworks,-,36.7990834 / 127.7758812,False,True,True,-,괴산개미충전소
청주가로수수소충전소,JNK히터,청주시,충청북도 청주시 흥덕구 가로수로 793,opc.tcp://192.43.2.10:4880/Naonworks,-,36.6206581 / 127.3870088,False,True,True,-,청주가로수수소충전소
제천삼보수소충전소,JNK히터,제천시,충청북도 제천시 봉양읍 북부로 913,opc.tcp://192.43.3.10:4880/Naonworks,-,37.1391006 / 128.0728572,False,True,True,-,제천삼보수소충전소
춘천동내수소충전소,효성,춘천시,강원도 춘천시 동내면 영서로 1632,opc.tcp://192.33.1.10:4880/Naonworks,-,37.8221715 / 127.7604215,False,True,False,-,춘천동내수소충전소
성남E1수소충전소,광신,성남시,경기도 성남시 중원구 경충대로 2653(갈현동),opc.tcp://192.31.3.10:4880/Naonworks,-,37.4217228 / 127.1556945,False,True,False,-,성남E1수소충전소
양산차고지수소충전소,광신,양산시,경상남도 양산시 물금읍 메기로 114,opc.tcp://192.55.2.10:4880/Naonworks ,-,35.3029088 / 129.0100666,False,True,False,-,양산차고지수소충전소
청주문의수소충전소,광신,청주시,충청북도 청주시 상당구 문의면 미천고은로 61,opc.tcp://192.43.4.10:4880/Naonworks,-,36.5294523 / 127.502552,False,True,False,-,청주문의수소충전소
진천충전소,광신,진천군,충청북도 청주시 진천군 진천읍 덕금로 106-30,opc.tcp://192.43.5.10:4880/Naonworks,-,36.8694006 / 127.4628978,False,True,False,-,진천충전소
평택버스충전소,엔케이텍,평택시,경기도 평택시 월곡동 378-2,opc.tcp://192.31.5.10:4880/Naonworks,-,37.0184684 / 127.1319762,False,True,False,-,평택버스충전소
